역이름,역지역,위도,경도
낙성대,수도권,37.47708963,126.9635058
구룡,수도권,37.48702744,127.0594749
서울대입구,수도권,37.4812845,126.9526951
불광,수도권,37.61004419,126.9303022
월롱,수도권,37.79620379,126.7925632
안국,수도권,37.57649291,126.9854192
부발,수도권,37.2603924,127.490308
강변,수도권,37.53511805,127.094723
영등포구청,수도권,37.52583052,126.8966683
동대입구,수도권,37.55905041,127.0052968
잠실새내,수도권,37.51160835,127.0863007
당산,수도권,37.5347735,126.9026073
약수,수도권,37.55449098,127.0108871
충정로,수도권,37.55974797,126.9644842
녹번,수도권,37.60080316,126.9358144
종합운동장,수도권,37.51113026,127.0738359
합정,수도권,37.54990144,126.9144473
금호,수도권,37.54825552,127.0158201
홍대입구,수도권,37.55686353,126.923765
홍제,수도권,37.58878817,126.944158
옥수,수도권,37.54155186,127.0173802
압구정,수도권,37.52648497,127.028486
삼성,수도권,37.50881193,127.0630209
신답,수도권,37.56983509,127.0470665
신사,수도권,37.51643147,127.0202927
선릉,수도권,37.50449378,127.0489481
신정네거리,수도권,37.5202159,126.852876
지축,수도권,37.64814503,126.9138361
구파발,수도권,37.63641776,126.9188347
연신내,수도권,37.61919243,126.9210962
무악재,수도권,37.58255602,126.950231
독립문,수도권,37.57446808,126.9579114
경복궁,수도권,37.5757881,126.9736687
종로3가,수도권,37.57042084,126.9921442
을지로3가,수도권,37.56627618,126.9909675
역삼,수도권,37.50066001,127.0364604
강남,수도권,37.49808544,127.0279777
교대,수도권,37.49273596,127.0138634
방배,수도권,37.48145613,126.9975353
사당,수도권,37.47655322,126.9815495
봉천,수도권,37.48246891,126.941682
신림,수도권,37.48426443,126.9297409
신대방,수도권,37.48764145,126.9135007
구로디지털단지,수도권,37.48525337,126.9014731
신도림,수도권,37.50890487,126.891308
문래,수도권,37.51797209,126.8947562
신촌,수도권,37.55519546,126.9369627
이대,수도권,37.5568039,126.9464228
아현,수도권,37.55740257,126.9561329
잠원,수도권,37.51288271,127.0114014
고속터미널,수도권,37.50453984,127.0051346
남부터미널,수도권,37.48518522,127.0161912
양재,수도권,37.48456871,127.034146
매봉,수도권,37.48692506,127.0466979
까치산,수도권,37.53222704,126.8464262
시청,수도권,37.56533728,126.9771812
을지로입구,수도권,37.5660229,126.982184
을지로4가,수도권,37.5666369,126.997623
동대문역사문화공원,수도권,37.56564549,127.0089872
신당,수도권,37.56566224,127.0194685
한양대,수도권,37.55570879,127.0436172
뚝섬,수도권,37.54723796,127.0473692
성수,수도권,37.54458522,127.0560579
건대입구,수도권,37.54039761,127.0692029
구의,수도권,37.53716086,127.0861718
잠실나루,수도권,37.5206944,127.1037997
잠실,수도권,37.51330927,127.1002152
용답,수도권,37.56212098,127.0508873
도곡,수도권,37.49097578,127.0554977
대치,수도권,37.49448585,127.0631898
학여울,수도권,37.496878,127.071153
대청,수도권,37.49370112,127.0795179
일원,수도권,37.48398507,127.0841207
수서,수도권,37.48528432,127.1044517
가락시장,수도권,37.49309205,127.1182582
경찰병원,수도권,37.49598689,127.1244824
오금,수도권,37.50212807,127.1279306
당고개,수도권,37.67020604,127.0790485
상계,수도권,37.66071334,127.0734171
노원,수도권,37.65634036,127.0634401
창동,수도권,37.65332049,127.0476405
쌍문,수도권,37.6485318,127.0346516
수유,수도권,37.63786648,127.0254921
미아,수도권,37.62664008,127.026032
미아사거리,수도권,37.61326845,127.0300821
길음,수도권,37.60337676,127.02505
성신여대입구,수도권,37.59296272,127.0171204
한성대입구,수도권,37.58840479,127.0060008
혜화,수도권,37.5820259,127.0019246
동대문,수도권,37.571664,127.010618
충무로,수도권,37.56139298,126.9941372
명동,수도권,37.56095986,126.9863956
회현,수도권,37.55876024,126.9784282
서울,수도권,37.55331631,126.9697383
숙대입구,수도권,37.54459523,126.9721181
